step T[K] H[J/g] Nco2[mmol/g] Nch4[mmol/g]
stepI 322.7246846166252 51.60993202663672 0.5315045311419077 2.283787330147267
stepII 353.1752461565068 75.48537249093258 2.977043798394703 0
stepIII 292.05620094282637 27.764915181160347 1.1618529072248476 0
stepIV 263.15 6.065203681526699 0 0.3745260088738253

effective amount adsorbed of CO2 [mmol/g]: 0.5315045311419077
working capacity [mmol/g]: -0.6303483760829399
selectivity [-]: 5.348885017966906
regenerability [%]: -118.5969900818478

T[K] NcI[mmol/g] NmI[mmol/g] NtI[mmol/g] NcII[mmol/g] NcIII[mmol/g] NcIV[mmol/g] NmIV[mmol/g] HI[J/g] HII[J/g] HIII[J/g] HIV[J/g] intCp[J/g]
232 5.673283304296844 5.509038424063326 11.18232172836017 14.35074081194114 8.913755133821624 0.0 0.982197830792929 238.2205980430721 332.88551243487586 221.8352952871938 16.059237435591907 -15.596115795925169
233 5.583069074589575 5.5327073299196945 11.115776404509269 14.322671316422676 8.787952570543837 0.0 0.9486916143800257 236.29546771746743 332.65528525327386 219.07862951646499 15.504319159833472 -14.933553334834418
234 5.493269017579201 5.554620974838236 11.047889992417437 14.293895813243324 8.659032968710294 0.0 0.9165693841489875 234.34809548923948 332.41454081978884 216.22436269626658 14.972683832934331 -14.268706512083668
235 5.4038846486342695 5.574757349865371 10.97864199849964 14.264396137614515 8.526924002814336 0.0 0.8857677284135449 232.3785520159276 332.16281086360544 213.2696441787092 14.46324681656659 -13.601584048428919
236 5.314917387796232 5.593094855483383 10.908012243279614 14.234153694790432 8.391557072308705 0.0 0.8562260546160069 230.38689575221775 331.89960776424283 210.21172028291636 13.974972534630112 -12.93219495219417
237 5.226368613580494 5.609612301056542 10.835980914637036 14.203149453780831 8.252868803170953 0.0 0.8278865225610825 228.37317392569463 331.624423908323 207.0479790967672 13.506873074328185 -12.260548526723419
238 5.13823971868907 5.624288910915475 10.762528629604544 14.171363941157084 8.110802610758972 0.0 0.8006939654103427 226.3374237486468 331.3367310386618 203.77600360508154 13.058006836819926 -11.58665437783267
239 5.050532173225397 5.637104335500106 10.687636508725504 14.138777234951352 7.965310731513059 0.0 0.7745958012617665 224.279673841827 331.0359795967145 200.39363470964858 12.627477022119045 -10.91052242126192
240 4.9632475775545375 5.648038674031096 10.611286251585634 14.105368958647093 7.816356496840697 0.0 0.7495419399052926 222.19994588877643 330.7215980594847 196.8990451860352 12.214430010460088 -10.23216289012717
241 4.876387728608525 5.657072512508137 10.53346024111666 14.07111827525712 7.663917022975027 0.0 0.7254846865931185 220.09825668574032 330.39299227207823 193.29082546491315 11.818053684511199 -9.55158634237242
242 4.78995470563143 5.664186946317217 10.454141651948648 14.036003881483596 7.507986303629154 0.0 0.7023786443254484 217.97462043562888 330.0495447771556 189.56808245987224 11.437575700185027 -8.86880366822167
243 4.703950912526757 5.669363650586516 10.373314563113272 14.000004001952451 7.348578733625061 0.0 0.6801806108856433 215.82905128474277 329.69061414260057 185.73055182167894 11.07226182719718 -8.18382609763092
244 4.618379172533233 5.672584941666419 10.290964114199653 13.963096383512536 7.185733068700919 0.0 0.6588495054558383 213.66156635366934 329.3155342887864 181.7787236457163 10.72141423400026 -7.496665207740168
245 4.53324280404834 5.67383384924175 10.207076653290091 13.925258289588124 7.019516799176865 0.0 0.6383462279706004 211.47218903891314 328.92361381687516 177.71398086448139 10.38436969908724 -6.807332930325419
246 4.448545683380243 5.673094226565716 10.121639909945959 13.886466494571515 6.850030896383802 0.0 0.6186336052089177 209.26095269945205 328.51413533963887 173.5387482652309 10.060498046262351 -6.1158415592506685
247 4.364292359410041 5.670350844162363 10.034643203572404 13.846697278241047 6.677414789663447 0.0 0.5996762845790311 207.02790494795016 328.0863548163351 169.25664852764945 9.749200582697009 -5.422203757919917
248 4.2804881347351476 5.665589521329576 9.946077656064723 13.805926420188474 6.501851459075286 0.0 0.5814406457217685 204.7731121545008 327.63950089321145 164.8726599502964 9.44990848918247 -4.726432566729166
249 4.197139128354421 5.658797290681776 9.855936419036198 13.764129194239281 6.323572363933825 0.0 0.5638947161749622 202.37854333084348 327.1727742512504 160.3932679608539 9.162081330573228 -4.0285414105184145
250 4.073482973753024 5.686878420689476 9.760361394442501 13.721280362849138 6.142861890240167 0.0 0.5470080892828525 199.9625843674669 326.6853469628002 155.82659991707882 8.885205619701388 -3.3285441060236636
251 4.031836125835279 5.639075183083274 9.670911308918553 13.677354171460625 5.960060902361609 0.0 0.5307518454361129 197.76109440260177 326.1763618587734 151.18253033577773 8.618793436564337 -2.62645486932891
252 3.949899458378548 5.626126938564163 9.57602639694271 13.632324342806138 5.775568908015746 0.0 0.5150984766829666 195.538273900714 325.6449319081318 146.47274151804893 8.362381107628973 -1.9222883233181633
253 3.868452893797842 5.611111463145747 9.47956435694359 13.586164071145916 5.589844298249708 0.0 0.5000218147102924 193.17678339968936 325.09013961142307 141.71072342149526 8.115527945246207 -1.2160595051274115
254 3.7875082175165233 5.594024655227251 9.381532872743774 13.53884601643467 5.4034021276883415 0.0 0.48549696216072585 190.7946511379653 324.51103641019137 136.9116971513037 7.87781504656186 -0.507783873596658
255 3.7070786633424215 5.574864860115101 9.281943523457523 13.49034229841689 5.2168089777310485 0.0 0.4715002272261719 188.3922389837422 323.90664211416515 132.0924492347734 7.648844150838233 0.2025226832780902
256 3.627178953982151 5.553633228698983 9.180812182681134 13.440624490659484 5.0306746137633755 0.0 0.4580090614385343 185.96997898473757 323.27594434822885 127.27106932775185 7.428236541161612 0.9148438408928428
257 3.547825425807108 5.530333936451284 9.078159362258392 13.389663614541664 4.8456404095525745 0.0 0.44500199748485236 183.52838100635938 322.61789802133296 122.46659216070553 7.215632045979791 1.6291628305835957
258 3.469036097736265 5.504974495055728 8.974010592791993 13.33743013323641 4.662364851096252 0.0 0.43245860708719724 181.06804047880402 321.93142481969136 117.6985547215629 7.010688064946181 2.345462432174344
259 3.390830718121262 5.477566106489922 8.868396824611184 13.283893945735707 4.481506804385912 0.0 0.4203594236232905 178.5896459827067 321.21541272687733 112.98649054252273 6.813078579473005 3.0637249665250934
260 3.313230819717413 5.44812392858898 8.761354748306392 13.229024380993673 4.303707573820994 0.0 0.4086859104246633 176.0939865241776 320.46871557377403 108.34939261840611 6.622493308771098 3.7839322880798463
261 3.2362597832079887 5.416667376328093 8.65292715953608 13.172790192288621 4.129573018237454 0.0 0.3974204076297243 173.58195840418642 319.69015262178357 103.80518289982594 6.438636913133749 4.506065777414598
262 3.1599427882297504 5.3832204639615 8.54316325219125 13.115159551937028 3.9596570692520054 0.0 0.38654608692971043 171.05457136986337 318.87850818327263 99.37022764961421 6.261228185357888 5.230106333785351
263 3.084306860624638 5.347812030190247 8.432118890814884 13.05610004653074 3.794447852076739 0.0 0.3760469082061921 168.51295393846962 318.0325312839597 95.05893494195696 6.089999306009247 5.956034367676104
264 3.0093807889268267 5.310476021501901 8.319856810428728 12.99557867291407 3.634357531184253 0.0 0.36590757932374535 165.95835758197768 317.1509353728598 90.88346026972742 5.924695142792215 6.6838297933468525
265 2.9351950711289017 5.27125170140262 8.206446772531521 12.9335618351703 3.4797159923297625 0.0 0.35611351777249933 163.39215959796232 316.232398086411 86.85353313452927 5.765072589170837 7.413472021381601
266 2.8617818118735694 5.230183810886578 8.091965622760148 12.87001534291742 3.3307688790896135 0.0 0.34665081436895545 160.81586455313456 315.2755610753927 82.97640778279153 5.610899938037054 8.144939951236353
267 2.7891745781908615 5.187322722437127 7.9764973006279885 12.804904411510227 3.187679510378002 0.0 0.3375061989202638 158.23110395412468 314.27902990406125 79.25692733134329 5.4619562898934575 8.878211963787102
268 2.7174082274759908 5.142724475779076 7.860132703255067 12.73819366417027 3.050533885119128 0.0 0.32866700774819213 155.63963399456213 313.2413740411625 75.69767973423345 5.318030993734715 9.613265913877854
269 2.6465187090800226 5.096450786121379 7.742969495201401 12.66984713935515 2.919348099163254 0.0 0.32012115297318 153.0433313435767 312.1611269163415 72.29922153463706 5.1789231188366385 10.350079122868607
