step T[K] H[J/g] Nco2[mmol/g] Nch4[mmol/g]
stepI 355.89900127899176 77.77908661154109 2.664628259587041 0.6471980811629249
stepII 353.1222313257515 75.57735485643103 2.980486962428101 0
stepIII 291.9806039433871 27.84063654006311 1.1649315577982509 0
stepIV 263.0 6.089999306009247 0 0.3760469082061921

effective amount adsorbed of CO2 [mmol/g]: 2.664628259587041
working capacity [mmol/g]: 1.4996967017887903
selectivity [-]: 4.11717577221347
regenerability [%]: 56.28164815835175

T[K] NcI[mmol/g] NmI[mmol/g] NtI[mmol/g] NcII[mmol/g] NcIII[mmol/g] NcIV[mmol/g] NmIV[mmol/g] HI[J/g] HII[J/g] HIII[J/g] HIV[J/g] intCp[J/g]
212 14.419784087979346 0.4170037654555421 14.836787853434888 14.788316631330684 10.889798921545705 0.0 2.0636921471352374 335.1203345221815 335.85670392944724 260.76328952801003 34.106205262432525 -28.222483841399033
213 14.394917501322368 0.425651347452747 14.820568848775116 14.771155967104036 10.81109461589375 0.0 1.985548069914152 335.0920544996772 335.76304543084893 259.39249999008354 32.79750817877719 -27.607063105008283
214 14.369583202619674 0.4343266616345654 14.80390986425424 14.753572604335096 10.730636336200693 0.0 1.910434622588982 335.0576335004587 335.6650641129453 257.9739646888962 31.53972212447181 -26.989232505037535
215 14.34377239797564 0.44302629044559194 14.786798688421232 14.735555559776827 10.648371523502059 0.0 1.8382859323273888 335.01677599410255 335.56256131839916 256.50586047722015 30.331844010402282 -26.368996575802782
216 14.317476026351372 0.4517468904091949 14.769222916760567 14.717093556640835 10.564246042198072 0.0 1.769027970601753 334.9691790088043 335.4553293730582 254.98629323337565 29.172708221305648 -25.746359990148033
217 14.290684761902568 0.46048521421242106 14.751169976114989 14.698175017808042 10.478203859629943 0.0 1.7025802246662114 334.9145319814968 335.34315119956585 253.41329619027155 28.06101852730584 -25.121327566897282
218 14.26338901729987 0.4692381069157924 14.732627124215663 14.678788058986713 10.390187066125195 0.0 1.6388572296013777 334.8525166481134 335.2257999173074 251.7848274000819 26.995377156941053 -24.49390427830653
219 14.235578914423629 0.47800254153013727 14.713581455953767 14.65892048182495 10.300135846369628 0.0 1.5777699390440434 334.7828154213752 335.10303842850936 250.0987684112045 25.9743109337954 -23.864095257515782
220 14.20724060662826 0.48677943995687684 14.694020046585136 14.638559766985288 10.20798845999298 0.0 1.519226937230798 334.70508543806574 334.9746189903395 248.35292346809868 24.996294494810048 -23.23190580600103
221 14.178374753519604 0.49555450256259925 14.673929256082204 14.61769306718928 10.113681335787426 0.0 1.4631355166264528 334.61896762940285 334.84028277288854 246.54501786504352 24.059770438953088 -22.59734140102628
222 14.14895953344814 0.5043365892250876 14.653296122673227 14.596307200240522 10.017148718140385 0.0 1.409402533209191 334.52412795864086 334.69975940295024 244.6726968179849 23.163166548330324 -21.96040770309553
223 14.118987618871396 0.5131193541740002 14.632106973045396 14.574388642034481 9.918323175614947 0.0 1.3579352215196403 334.4202147631493 334.5527664935558 242.73352709848297 22.304910577751315 -21.32111056340478
224 14.088447681338808 0.5219004342700674 14.610348115608875 14.551923519564106 9.817135357866258 0.0 1.308641806748264 334.30685097705634 334.39900915926444 240.7249977657509 21.48344252924293 -20.67945603129403
225 14.057328089071522 0.5306776098704261 14.588005698941949 14.528897603930316 9.713514137400505 0.0 1.2614320307317302 334.18365838145564 334.23817951725806 238.64452115152517 20.69722464880851 -20.035450361699276
226 14.025616894714009 0.5394488146140244 14.565065709328033 14.50529630336622 9.607386718979292 0.0 1.2162175704891116 334.0502489986489 334.0699561743395 236.48943603742723 19.944749557509553 -19.389100022604527
227 13.993301842502824 0.5482121212558336 14.541513963758657 14.481104656284627 9.49867879021975 0.0 1.1729123667048549 333.9062247281308 333.8940036999896 234.25701185550727 19.224546652536723 -18.740411702493777
228 13.960370342660413 0.5569657662263504 14.517336108886763 14.456307324357617 9.387314722088572 0.0 1.1314328741053004 333.7511769718038 333.70997208569787 231.94445451756135 18.535187024897258 -18.089392317803025
229 13.926809488499716 0.5657081217552759 14.49251761025499 14.430888585637407 9.273217829594982 0.0 1.09169824481507 333.58468618125085 333.5174961908428 229.548914211665 17.87528710412781 -17.436049020372273
230 13.892606041538393 0.5744377053517749 14.467043746890168 14.404832327727025 9.156310704835436 0.0 1.0536304547982447 333.4063214075395 333.3161951754649 227.06749556431092 17.243511221900242 -16.780389204897524
231 13.857746430922123 0.5831531724403212 14.440899603362444 14.378122041009174 9.036515636683196 0.0 1.0171543824595115 333.21563985514416 333.1056719203456 224.4972706349788 16.638573197826126 -16.122420516382775
232 13.822216750422868 0.5918533107159039 14.414070061138771 14.35074081194114 8.913755133821624 0.0 0.982197830792929 333.01218639663136 332.88551243487586 221.8352952871938 16.059237435591907 -15.462150857592025
233 13.78600275646185 0.6005370333444695 14.386539789806319 14.322671316422676 8.787952570543837 0.0 0.9486916143800257 332.7954930793307 332.65528525327386 219.07862951646499 15.504319159833472 -14.799588396501274
234 13.749089866650898 0.6092033712487542 14.358293237899652 14.293895813243324 8.659032968710294 0.0 0.9165693841489875 332.5650786283926 332.41454081978884 216.22436269626658 14.972683832934331 -14.134741573750524
235 13.711463155995162 0.6178514680708893 14.32931462406605 14.264396137614515 8.526924002814336 0.0 0.8857677284135449 332.32044791632075 332.16281086360544 213.2696441787092 14.46324681656659 -13.467619110095775
236 13.673107373145093 0.6264805527443336 14.299587925889426 14.234153694790432 8.391557072308705 0.0 0.8562260546160069 332.06109145781335 331.89960776424283 210.21172028291636 13.974972534630112 -12.798230013861026
237 13.634006908032648 0.6350899665196572 14.269096874552305 14.203149453780831 8.252868803170953 0.0 0.8278865225610825 331.78648491975963 331.624423908323 207.0479790967672 13.506873074328185 -12.126583588390275
238 13.594145831067083 0.6436791103363824 14.237824941403465 14.171363941157084 8.110802610758972 0.0 0.8006939654103427 331.49608857857726 331.3367310386618 203.77600360508154 13.058006836819926 -11.452689439499526
239 13.55350786944945 0.6522474630439751 14.205755332493426 14.138777234951352 7.965310731513059 0.0 0.7745958012617665 331.1893468179192 331.0359795967145 200.39363470964858 12.627477022119045 -10.776557482928776
240 13.512076423864334 0.66079455437879 14.172870978243123 14.105368958647093 7.816356496840697 0.0 0.7495419399052926 330.8656876465389 330.7215980594847 196.8990451860352 12.214430010460088 -10.098197951794027
241 13.469834564988648 0.6693199621732131 14.139154527161862 14.07111827525712 7.663917022975027 0.0 0.7254846865931185 330.52452216968754 330.39299227207823 193.29082546491315 11.818053684511199 -9.417621404039277
242 13.426765046559735 0.6778232816264201 14.104588328186155 14.036003881483596 7.507986303629154 0.0 0.7023786443254484 330.16524416973823 330.0495447771556 189.56808245987224 11.437575700185027 -8.734838729888526
243 13.382850317719091 0.6863041408783607 14.069154458597453 14.000004001952451 7.348578733625061 0.0 0.6801806108856433 329.7872296886216 329.69061414260057 185.73055182167894 11.07226182719718 -8.049861159297777
244 13.338072495020848 0.6947621662772321 14.03283466129808 13.963096383512536 7.185733068700919 0.0 0.6588495054558383 329.38983648508787 329.3155342887864 181.7787236457163 10.72141423400026 -7.362700269407025
245 13.292413406511287 0.7031969752017582 13.995610381713044 13.925258289588124 7.019516799176865 0.0 0.6383462279706004 328.97240366808535 328.92361381687516 177.71398086448139 10.38436969908724 -6.673367991992276
246 13.245854589875709 0.7116081612465821 13.957462751122291 13.886466494571515 6.850030896383802 0.0 0.6186336052089177 328.53425137530337 328.51413533963887 173.5387482652309 10.060498046262351 -5.981876620917525
247 13.198377296071767 0.7199952822083081 13.918372578280074 13.846697278241047 6.677414789663447 0.0 0.5996762845790311 328.0746803745135 328.0863548163351 169.25664852764945 9.749200582697009 -5.288238819586773
248 13.149962501305023 0.728357845417153 13.878320346722175 13.805926420188474 6.501851459075286 0.0 0.5814406457217685 327.59297174174014 327.63950089321145 164.8726599502964 9.44990848918247 -4.592467628396022
249 13.100590916770386 0.7366952939491337 13.83728621071952 13.764129194239281 6.323572363933825 0.0 0.5638947161749622 327.0883865762539 327.1727742512504 160.3932679608539 9.162081330573228 -3.894576472185271
250 13.05024299922398 0.7450069924995658 13.795249991723546 13.721280362849138 6.142861890240167 0.0 0.5470080892828525 326.5601657451223 326.6853469628002 155.82659991707882 8.885205619701388 -3.19457916769052
251 12.998898961665251 0.7532922134602867 13.752191175125537 13.677354171460625 5.960060902361609 0.0 0.5307518454361129 326.00752966348824 326.1763618587734 151.18253033577773 8.618793436564337 -2.4924899309957667
252 12.946538784521191 0.7615501228786592 13.708088907399851 13.632324342806138 5.775568908015746 0.0 0.5150984766829666 325.4296781122563 325.6449319081318 146.47274151804893 8.362381107628973 -1.78832338498502
253 12.893142227149035 0.7697797664303421 13.662921993579378 13.586164071145916 5.589844298249708 0.0 0.5000218147102924 324.8257900945754 325.09013961142307 141.71072342149526 8.115527945246207 -1.082094566794268
254 12.83868883956684 0.7779800553958023 13.616668894962643 13.53884601643467 5.4034021276883415 0.0 0.48549696216072585 324.19502372911967 324.51103641019137 136.9116971513037 7.87781504656186 -0.3738189352635146
255 12.783157973347393 0.7861497528203403 13.569307726167732 13.49034229841689 5.2168089777310485 0.0 0.4715002272261719 323.53651619510515 323.90664211416515 132.0924492347734 7.648844150838233 0.3364876216112336
256 12.72652879944688 0.7942874579649073 13.520816257411788 13.440624490659484 5.0306746137633755 0.0 0.4580090614385343 322.84938369309475 323.27594434822885 127.27106932775185 7.428236541161612 1.0488087792259861
257 12.668780301075733 0.8023915985938015 13.471171899669535 13.389663614541664 4.8456404095525745 0.0 0.44500199748485236 322.1327215014612 322.61789802133296 122.46659216070553 7.215632045979791 1.763127768916739
258 12.609891332457211 0.8104604025965099 13.420351735053721 13.33743013323641 4.662364851096252 0.0 0.43245860708719724 321.3856040436416 321.93142481969136 117.6985547215629 7.010688064946181 2.479427370507487
259 12.549840559815626 0.8184919046790031 13.36833246449463 13.283893945735707 4.481506804385912 0.0 0.4203594236232905 320.6070849097722 321.21541272687733 112.98649054252273 6.813078579473005 3.197689904858237
260 12.488606536296269 0.8264839146744326 13.3150904509707 13.229024380993673 4.303707573820994 0.0 0.4086859104246633 319.796197082203 320.46871557377403 108.34939261840611 6.622493308771098 3.9178972264129897
261 12.426167687123097 0.8344340121729182 13.260601699296016 13.172790192288621 4.129573018237454 0.0 0.3974204076297243 318.95195316793246 319.69015262178357 103.80518289982594 6.438636913133749 4.640030715747741
262 12.362502324778443 0.8423395306009323 13.204841855379376 13.115159551937028 3.9596570692520054 0.0 0.38654608692971043 318.07334558838784 318.87850818327263 99.37022764961421 6.261228185357888 5.364071272118494
263 12.297588661463381 0.8501975447416241 13.147786206205005 13.05610004653074 3.794447852076739 0.0 0.3760469082061921 317.1593468879035 318.0325312839597 95.05893494195696 6.089999306009247 6.089999306009247
264 12.231404822385777 0.8580048561587629 13.08940967854454 12.99557867291407 3.634357531184253 0.0 0.36590757932374535 316.2089100845202 317.1509353728598 90.88346026972742 5.924695142792215 6.817794731679996
265 12.163928858297977 0.8657579795408811 13.029686837838858 12.9335618351703 3.4797159923297625 0.0 0.35611351777249933 315.22096906934223 316.232398086411 86.85353313452927 5.765072589170837 7.547436959714744
266 12.09513875427107 0.8734531336296033 12.968591887900674 12.87001534291742 3.3307688790896135 0.0 0.34665081436895545 314.1944390548753 315.2755610753927 82.97640778279153 5.610899938037054 8.278904889569496
267 12.025012460708474 0.8810862079850129 12.906098668693486 12.804904411510227 3.187679510378002 0.0 0.3375061989202638 313.1282170915983 314.27902990406125 79.25692733134329 5.4619562898934575 9.012176902120245
268 11.953527871951092 0.8886527892762865 12.842180661227378 12.73819366417027 3.050533885119128 0.0 0.32866700774819213 312.0211826532678 313.2413740411625 75.69767973423345 5.318030993734715 9.747230852210997
269 11.88066287603295 0.8961481090214187 12.776810985054368 12.66984713935515 2.919348099163254 0.0 0.32012115297318 310.87219827873326 312.1611269163415 72.29922153463706 5.1789231188366385 10.48404406120175
270 11.806395353111935 0.9035670504701004 12.709962403582034 12.599828288636388 2.7940772400573572 0.0 0.3118570934631318 309.6801103009127 311.0367861221618 69.0603450611226 5.0444409557411545 11.222593309516498
271 11.730703196460532 0.9109041321208619 12.641607328581394 12.528100010385524 2.674625143624055 0.0 0.3038638073559281 308.44374966847613 309.86681379260096 65.97836390472499 4.914401544805395 11.96285482919125
272 11.65356433103026 0.9181534966752688 12.571717827705529 12.45462464856435 2.560853794750783 0.0 0.2961307660689373 307.1619328578151 308.64963705791547 63.0493970640227 4.788630230762643 12.704804296422004
273 11.574956734789861 0.9253088986218674 12.500265633411729 12.379364025530311 2.4525927666251 0.0 0.28864790971307147 305.83346292119916 307.38364871178493 60.26863940582635 4.666960241821356 13.448416824112755
274 11.49485846977892 0.932363692781585 12.427222162560506 12.302279473470431 2.3496474645429766 0.0 0.2814056238331162 304.45713066168247 306.0672081438434 57.63060592092753 4.549232291905191 14.193666954423506
275 11.413247700923858 0.9393108257042703 12.352558526628128 12.223331875429318 2.2518064396271917 0.0 0.27439471740011256 303.03171593573177 304.6986425050123 55.12934659464955 4.435294204711437 14.94052865131826
276 11.330102737905504 0.9461428248721091 12.276245562777612 12.142481717439836 2.1588480213251438 0.0 0.2676064019855268 301.55598916612485 303.2762481885318 52.758628072953485 4.32500055833735 15.68897529311301
277 11.245402071064941 0.9528517903038956 12.198253861368837 12.059689153382042 2.070544882990967 0.0 0.26103227205073126 300.0275451905765 301.79829267870474 50.512080956143855 4.21821234929312 16.43897966502376
278 11.15772758925328 0.9607824907604546 12.118510080013735 11.97491408474471 1.9866688030657764 0.0 0.2546642862889637 298.44620440470584 300.26301685460385 48.38332158676207 4.114796670223774 17.190513951714507
279 11.07124877685161 0.9658668481889702 12.03711562504058 11.888116263181029 1.9069937749289725 0.0 0.24849474883610528 296.81331912098506 298.6686377310206 46.36604671133416 4.0146264201218065 17.94354972984526
280 10.981754499699468 0.972154945065889 11.953909444765356 11.799255387569795 1.8312985394021808 0.0 0.24251629742926864 295.12525186168835 297.01335177614584 44.45410308810871 3.917580022667015 18.698057960620012
281 10.890621351321954 0.9782840166236829 11.868905367945636 11.708291268340508 1.7593684535837018 0.0 0.23672187955905735 293.37932617978475 295.29533906229165 42.64153886453181 3.8235411358856934 19.454008982334763
282 10.79782961297673 0.9842439486034701 11.782073561580201 11.615183988309242 1.6909967695196313 0.0 0.23110474331559075 291.5756286127133 293.5127681409907 40.922639875182846 3.7323984060961717 20.211372502925514
283 10.703360179298658 0.9900241823575642 11.693384361656221 11.51989409450456 1.6259856736627143 0.0 0.22565842155361532 289.7129284947697 291.66380171738797 39.29195296843881 3.644045237603452 20.970117592516267
